,PDB code,Resolution (A),Bnet
258,4OWI,1.2,6.710779965
259,1VMG,1.46,6.708952301
260,5YJ0,1.8,6.681979967
261,4MPV,2.31,6.680951284
262,4V2N,2.15,6.67572035
263,2H1X,1.98,6.671359269
264,4IBN,1.62,6.670932164
265,4NAY,1.42,6.668995621
266,5T9Z,1.4,6.660735082
267,4FP5,1.4,6.651579109
268,1SK4,1.65,6.650579798
269,3NVL,2.3,6.646285156
270,4GRQ,1.65,6.644547303
271,2WRA,1.1,6.641937541
272,6MCT,1.89,6.640487924
273,6P4C,1.85,6.638905201
274,4YST,1.33,6.634638568
275,5GOB,1.15,6.631291078
276,2OF9,1.35,6.626389277
277,6U4W,1.4,6.60543291
278,5INY,1.04,6.602309937
279,3HAR,1.7,6.596627953
280,5GQN,1.55,6.590203429
281,4XIX,2.7,6.583802991
282,5NLQ,1.5,6.583465152
283,1VFY,1.15,6.582513183
284,6RD2,1.0,6.579207306
285,5AHC,1.5,6.576844794
286,4.00E+72,2.15,6.56872509
287,1Y0H,1.6,6.562515042
288,3B64,1.03,6.557981602
289,6G00,1.4,6.557282067
290,1YT4,1.3,6.553685248
291,1NYK,1.3,6.552195694
292,3OMY,1.3,6.547451534
293,5NW3,0.59,6.541082936
294,4MHX,2.0,6.539880439
295,6KX1,1.77,6.537979676
296,5NOA,1.26,6.526848694
297,3DNJ,1.15,6.522805502
298,5GQM,1.68,6.52182187
299,6S50,2.0,6.519358201
300,2BZV,1.15,6.507721288
301,3KOW,2.9,6.504147924
302,3QUW,1.74,6.498096312
303,6KFD,1.55,6.497279972
304,6AIG,2.0,6.495786592
305,5ETB,1.29,6.493513373
306,5X67,2.13,6.478084029
307,5W1X,3.37,6.475037271
308,5ISA,2.4,6.467493138
309,5T2R,2.1,6.465836183
310,5TZU,2.1,6.464126188
311,6ZPS,1.79,6.447561302
312,6O44,1.83,6.432775994
313,5MSP,2.41,6.431015135
314,3DTE,2.6,6.423387832
315,3ICT,2.1,6.415618926
316,6FQU,1.43,6.415408063
317,1YAB,3.4,6.415045371
318,3UG9,2.2,6.413552561
319,5A9P,1.48,6.396983169
320,4M5T,2.0,6.392790723
321,5WUD,1.9,6.383747826
322,1JCD,1.3,6.377168274
323,6REI,1.5,6.364459691
324,6KFS,1.2,6.342887392
325,4AXJ,1.62,6.341130874
326,3DS0,1.6,6.304703494
327,2WF1,1.6,6.302876165
328,6TR1,1.7,6.301911991
329,1WAQ,2.28,6.298322358
330,4EPA,3.2,6.296241171
331,2PYA,0.86,6.282600187
332,6JHP,2.56,6.275432345
333,5WA9,1.15,6.273677738
334,5DDZ,1.5,6.262077822
335,1XGI,1.95,6.256050119
336,5JED,1.33,6.247016359
337,5EMX,1.4,6.2456721
338,6FHQ,1.95,6.241727372
339,1QKO,2.1,6.234843851
340,2HYR,1.51,6.228850286
341,2Y6G,1.3,6.221063643
342,5FWH,2.06,6.205652725
343,4L1U,2.42,6.201569273
344,2VXI,1.91,6.201117536
345,4AEQ,1.89,6.200621595
346,2PES,1.53,6.198241311
347,5NES,1.61,6.178889869
348,5IN4,1.59,6.172004207
349,4YSR,1.33,6.171092782
350,5YXT,1.88,6.161558378
351,5V0S,2.01,6.158283769
352,4CO2,1.8,6.149844594
353,5UG6,2.0,6.145172958
354,3U23,1.11,6.144757962
355,3VPK,1.94,6.135086748
356,6JF5,2.0,6.132917413
357,5M9Q,1.35,6.13095279
358,3QQI,1.65,6.116371894
359,5XG5,1.54,6.110910002
360,2G30,1.6,6.109340608
361,3ZSU,1.6,6.106165416
362,4PWO,1.52,6.101980257
363,4EXY,1.47,6.097524885
364,6C5F,1.4,6.085261351
365,5AMX,1.01,6.082726121
366,4DPC,1.06,6.069610969
367,3PNM,2.55,6.065178806
368,5M1K,1.2,6.063247576
369,5RD7,1.03,6.053946327
370,1RFS,1.83,6.048887896
371,6IQZ,1.46,6.037065088
372,6UQD,2.02,6.036530434
373,5RD2,1.08,6.035057069
374,5TDA,0.79,6.026478919
375,1BYZ,0.9,6.025437777
376,2XT1,1.32,6.022801683
377,2I0C,2.25,6.021535399
378,6REL,1.08,6.015099749
379,2OH5,1.98,6.013762709
380,5DNL,1.53,6.00655134
381,2PY2,1.7,6.002384919
382,6J4B,1.58,5.996526824
383,6TSY,2.25,5.981283458
384,4J8C,1.1,5.9798506
385,6US8,1.7,5.978025051
386,3O3K,2.3,5.977205097
387,2IT6,1.95,5.973060932
388,4YYU,1.18,5.951272804
389,5MT0,1.29,5.950489217
390,1UXZ,1.4,5.948918267
391,1MK0,1.59,5.938347174
392,4DO2,1.4,5.93510008
393,4PMO,1.33,5.908975737
394,6CNW,0.92,5.905590245
395,4OD6,1.2,5.903088267
396,4UW3,1.48,5.899384803
397,6PD5,2.39,5.893274807
398,5JK4,1.01,5.892862889
399,6J5S,1.02,5.888611835
400,2I24,1.35,5.883828693
401,4HCF,1.7,5.875710273
402,4OGN,1.38,5.870626658
403,3V1D,1.24,5.867588684
404,5N8J,1.05,5.857309993
405,6V8V,1.8,5.855661559
406,6S92,1.93,5.842721446
407,1TR7,2.1,5.841886884
408,5JF1,2.0,5.839034853
409,4J5Q,1.35,5.8366
410,6C4Z,3.3,5.830286862
411,6C9O,1.11,5.830053164
412,5WK4,1.5,5.828716554
413,1JS9,3.4,5.827693423
414,2CZ8,1.36,5.821583719
415,5TG4,1.44,5.817413479
416,3DVR,1.02,5.817214892
417,6SF3,2.3,5.814400297
418,3GJD,2.0,5.810343006
419,5ZKT,1.74,5.803116053
420,2X9Y,2.33,5.800334759
421,2R75,1.4,5.797101381
422,3RA2,2.7,5.795553961
423,5B4T,1.19,5.792716472
424,4W6X,1.88,5.787454141
425,6H7V,2.54,5.782826851
426,4OEE,1.5,5.777436185
427,5DNX,1.8,5.77410411
428,6UDM,3.07,5.765591827
429,2JLH,1.53,5.761480013
430,1II5,1.6,5.761243055
431,4QN5,1.7,5.75045324
432,1KXZ,2.7,5.741195443
433,5IMZ,1.1,5.738526966
434,4M9O,2.14,5.730344964
435,3WH1,1.0,5.728135239
436,2V7F,1.15,5.724104941
437,5NJO,1.55,5.722786539
438,6JFW,2.0,5.713567026
439,6H59,1.8,5.711798791
440,3CKF,1.25,5.703787927
441,4E9L,1.9,5.702087276
442,2YZ1,1.4,5.695676046
443,2EIQ,1.9,5.694681593
444,1UPG,1.8,5.69124794
445,5DHD,1.27,5.687260065
446,3KAN,1.13,5.685787061
447,4FHQ,2.25,5.682925816
448,6WTW,2.86,5.676119063
449,6UH3,2.7,5.675787079
450,6TCR,1.45,5.672732629
451,5WY6,1.78,5.671833377
452,6XFJ,1.2,5.669502785
453,5SV0,2.58,5.666382217
454,4NCW,1.3,5.660265405
455,6L1M,1.69,5.659901439
456,3A6Q,1.4,5.659880263
457,3GWW,2.45,5.658009959
458,5AHA,1.35,5.654449119
459,6PCZ,1.44,5.645903346
460,6GHG,1.88,5.642090451
461,3DEX,2.63,5.641433324
462,3AHW,1.03,5.640353104
463,5MCN,2.0,5.639799202
464,2CKW,2.3,5.638739652
465,5H9R,1.58,5.637496094
466,4X32,1.9,5.634853939
467,3QHS,2.85,5.628847725
468,4ZA4,1.22,5.62576552
469,5ER5,1.26,5.623265759
470,4AM2,1.8,5.621619533
471,5WI6,2.72,5.621106258
472,5IMV,1.05,5.616952696
473,5UY8,2.39,5.616306534
474,3FBX,2.4,5.615095087
475,1QVU,2.96,5.614515969
476,4DHG,1.8,5.61426145
477,2ZFH,2.06,5.611695551
478,1HQQ,1.7,5.611387341
479,4OPS,1.75,5.610946271
480,2ECU,1.3,5.60860081
481,3CDC,1.44,5.607335037
482,3K3Q,2.6,5.599287087
483,2X2P,1.15,5.598167852
484,4H89,1.37,5.591037318
485,3T49,1.45,5.58943707
486,5CFJ,1.25,5.586738834
487,5G2D,1.8,5.585576779
488,4CG0,1.36,5.584995717
489,6UD6,1.5,5.584117996
490,6Q22,1.6,5.579555311
491,1KR7,1.5,5.574760172
492,4V1J,1.43,5.574546097
493,4QID,2.57,5.57393431
494,4Y7L,1.51,5.569894593
495,4COF,2.97,5.565589827
496,2X7V,2.3,5.550896747
497,1NI4,1.95,5.550324085
498,1MD2,1.44,5.547196299
499,1XQ7,2.07,5.546519867
500,4TLS,1.35,5.546484019
501,5AL9,1.37,5.543735797
502,4CO0,1.4,5.543671628
503,6KFB,1.55,5.542538729
504,2OPC,1.43,5.54157207
505,6SZT,1.5,5.534954909
506,2WJQ,2.0,5.529239251
507,6KL6,2.76,5.527971403
508,6J64,0.95,5.515624799
509,3WFT,1.3,5.515002652
510,1O83,1.64,5.514500695
511,4AQL,1.99,5.509549201
512,6SQP,1.21,5.509185299
513,4IBD,1.84,5.498742342
514,3ZZP,0.96,5.49098425
515,3S83,1.34,5.490125914
516,5IVT,1.15,5.489189996
517,5LUK,1.45,5.483236263
518,1LL9,1.87,5.482452459
519,6C89,1.75,5.476171109
520,6J58,1.52,5.468299286
521,4EQG,1.52,5.466885902
522,5IUC,1.25,5.461523044
523,1Z9L,1.7,5.459313027
524,4H8R,1.25,5.458508509
525,3ZK1,2.2,5.457655304
526,6IUX,1.2,5.455357024
527,2WAO,1.8,5.451216779
528,5ANW,1.37,5.450311321
529,2A65,1.65,5.445562359
530,6S3X,1.72,5.444635303
531,5I2F,1.25,5.441127261
532,1SMB,1.55,5.436982345
533,4V0H,1.79,5.4353179
534,2IWN,1.35,5.432792908
535,2Z14,1.64,5.429517206
536,2WBV,1.9,5.427181437
537,2VEO,2.2,5.426177019
538,4DNE,1.88,5.42274677
539,1H2S,1.93,5.421764314
540,3WR0,1.16,5.417945534
541,2Y71,1.5,5.409453636
542,6PBW,2.06,5.408643303
543,3S05,2.2,5.40658861
544,6KVX,2.85,5.405743192
545,5DPM,2.1,5.403337315
546,4IJE,1.9,5.402586717
547,2DYT,2.5,5.402134148
548,6AQF,2.51,5.395105013
549,6K9T,1.46,5.394088942
550,5N8E,1.1,5.393170181
551,3BRU,2.3,5.3929097
552,5KKE,1.7,5.390598237
553,5VN7,2.7,5.381480975
554,6OR1,2.17,5.375845267
555,4DP7,1.08,5.373797895
556,3KI3,1.27,5.373021759
557,3B9W,1.3,5.368312231
558,4GF3,1.9,5.366034425
559,4XYB,1.38,5.365887654
560,3EII,2.0,5.365789223
561,4H87,1.55,5.365237435
562,3UPA,1.8,5.364447045
563,4XPK,1.95,5.362886144
564,2QT7,1.3,5.359680724
565,3UNO,2.5,5.357778411
566,3QXL,2.24,5.357574114
567,6FY2,2.3,5.357043352
568,5W8P,1.69,5.355186991
569,5IM9,1.1,5.354947183
570,5XP6,0.95,5.353072311
571,5VX9,1.82,5.352557742
572,4KQC,1.62,5.351332594
573,6XXN,2.65,5.350979693
574,2WLQ,1.4,5.346647742
575,5AG8,1.9,5.342662069
576,3B2Y,1.74,5.337259759
577,5WJE,1.77,5.335844999
578,2X1Q,1.06,5.334299073
579,3PCZ,1.49,5.331603034
580,4IYJ,1.37,5.331403913
581,3ONB,1.45,5.325185575
582,4PI3,1.27,5.325008607
583,3M8J,1.4,5.315910034
584,1MFG,1.25,5.315036502
585,4OUO,1.8,5.311513365
586,3ARZ,1.82,5.311360281
587,3E0E,1.6,5.308866685
588,2NUU,2.5,5.302718792
589,3V39,1.45,5.301832283
590,4N13,1.3,5.3014447
591,4OY6,1.29,5.299901493
592,6PUP,1.88,5.296738493
593,5SZV,2.0,5.29526439
594,4ILA,3.5,5.291398119
595,4OJG,1.38,5.291372919
596,6ON8,2.39,5.290179718
597,2OVJ,1.49,5.287846309
598,3UP3,1.25,5.286664833
599,3CP5,1.24,5.286093206
600,5Z49,2.15,5.284098185
601,5ZJM,2.32,5.277118823
602,2FR2,1.5,5.276287911
603,5D8P,2.35,5.270664813
604,3FO2,2.18,5.26894481
605,3NDO,1.25,5.268669848
606,4FIW,1.5,5.268375698
607,5GKK,2.0,5.264212712
608,3TQE,1.5,5.261299333
609,2VIJ,1.6,5.256496156
610,2ZHK,1.8,5.253171784
611,5GX4,1.6,5.252516416
612,6T0Y,1.12,5.252012789
613,6T48,2.17,5.247364287
614,6HOG,1.26,5.246648586
615,3P6E,1.08,5.24499792
616,4JVF,2.4,5.242983569
617,3MTR,1.8,5.240249282
618,5XD0,1.79,5.239907925
619,5NLP,1.59,5.239722953
620,4XD2,1.1,5.238455537
621,1T3J,2.5,5.230223097
622,1GUG,1.6,5.228902107
623,3UI4,0.8,5.228901998
624,2FLU,1.5,5.226602699
625,4HEQ,1.21,5.226076613
626,1R29,1.3,5.222978514
627,6NLU,1.61,5.222524292
628,5EM0,1.1,5.222253311
629,2IVY,1.4,5.221477357
630,2PWN,2.04,5.219070894
631,5HL3,1.4,5.218106774
632,5AGZ,1.2,5.213550538
633,2QTX,2.5,5.213408131
634,4FFY,2.5,5.209454477
635,5KMB,1.6,5.205622387
636,3UTX,2.44,5.205025264
637,6OOM,2.2,5.203739658
638,6PI6,1.65,5.202948348
639,4YUD,1.28,5.201030124
640,6FF1,1.3,5.198331311
641,4OQ3,2.3,5.196087168
642,2W1W,1.55,5.196072278
643,5COY,1.44,5.193340678
644,4DPA,1.05,5.191465918
645,1OL0,1.8,5.188780361
646,6GDV,2.0,5.186948907
647,2HTN,2.5,5.186056852
648,6YFL,3.3,5.185072686
649,6J5Z,1.3,5.181559284
650,2OU6,1.8,5.18144555
651,4P7V,1.93,5.181273672
652,2FB6,1.46,5.179409376
653,1YRK,1.7,5.174526438
654,1G2R,1.35,5.171148067
655,6HMY,1.6,5.170554587
656,4DVE,2.09,5.167898646
657,3DP4,2.11,5.164468661
658,1URD,1.53,5.163914223
659,1UPX,1.25,5.163278061
660,6KFA,1.5,5.162397381
661,4Y3G,1.13,5.161599952
662,3VN3,0.95,5.159273247
663,2OB3,1.04,5.153633371
664,4HXJ,2.0,5.148887697
665,5FPG,2.75,5.146871438
666,3GA4,1.3,5.145604087
667,1PI4,1.39,5.144374068
668,5O8M,1.45,5.142969342
669,5FVL,1.97,5.142309974
670,6NV1,2.5,5.141459128
671,2Y6L,1.28,5.138509326
672,2GUD,0.94,5.132402457
673,5AX0,1.52,5.131411027
674,2BDR,1.6,5.131143618
675,1TM5,1.45,5.129462352
676,5UDP,1.35,5.127240874
677,4TYQ,1.65,5.126137455
678,6LFP,3.31,5.12024513
679,5MW5,2.7,5.112535068
680,4MMC,2.29,5.110122966
681,5C3U,1.76,5.109178093
682,5IPH,1.3,5.108772432
683,2VIE,1.9,5.108503758
684,6Y3E,1.45,5.106313271
685,3L0F,1.35,5.101066112
686,1KE4,1.72,5.099740139
687,6PYK,1.35,5.099326505
688,2H5F,1.9,5.097813476
689,1OFT,2.9,5.094806154
690,2ZHL,1.75,5.092595843
691,6ARQ,2.88,5.091542665
692,3RBG,2.3,5.091499503
693,3USP,2.1,5.084300444
694,3WQ1,1.3,5.082094957
695,3IOQ,1.87,5.081484089
696,6D96,2.15,5.079817416
697,3VCK,2.3,5.071805121
698,4CU5,2.24,5.069280421
699,4IUM,1.45,5.068492337
700,3UQW,2.2,5.06804971
701,4YZI,2.3,5.066860466
702,6LJW,1.35,5.061377832
703,1IIT,1.9,5.060974284
704,4U9N,2.19,5.054942453
705,2ZT1,1.21,5.054076782
706,4IH0,1.75,5.05382939
707,5RD9,1.11,5.053112013
708,3MRD,1.7,5.051530208
709,5BR5,2.0,5.049205875
710,4Q27,1.05,5.041361377
711,5EOR,2.27,5.040355295
712,5Y7W,2.25,5.039341232
713,1SJ8,2.5,5.037466411
714,3B7Q,2.0,5.035605046
715,5NLZ,1.15,5.035580815
716,5ZGZ,0.95,5.033320822
717,6Y9Q,1.32,5.03246535
718,5EXY,1.55,5.030388073
719,6DG2,1.96,5.028948182
720,6JC2,2.65,5.024155112
721,5O78,2.85,5.022873482
722,3K88,2.0,5.022590389
723,2FS2,2.0,5.021916944
724,3SU0,1.16,5.018199771
725,3H3O,2.3,5.015279199
726,4JPI,2.1,5.013493535
727,5KLY,1.3,5.01000021
728,1TSJ,2.4,5.007210948
729,4TRP,1.25,5.006738892
730,3A5F,1.19,5.002171074
731,5BNO,2.15,5.000425643
732,5JF3,1.6,5.000267235
733,5YPI,2.3,4.99829531
734,2QF4,1.2,4.998126627
735,6EID,2.39,4.993965829
736,3G3F,1.38,4.993729372
737,3K9W,1.6,4.992675064
738,4DWW,1.74,4.991908388
739,3G9D,2.5,4.990800244
740,3OGN,1.3,4.990159254
741,1MXF,1.99,4.986266122
742,4XC5,2.2,4.984432086
743,5N7X,1.12,4.983252324
744,5FJG,2.0,4.981567487
745,5KUX,1.8,4.980557935
746,4IJ4,1.58,4.979171728
747,5H0X,1.57,4.97850111
748,6JHZ,2.0,4.977845085
749,5AI1,2.1,4.976141807
750,3RTW,2.09,4.97577923
751,3EF4,1.18,4.975632039
752,4GGC,1.35,4.974895436
753,2JC2,2.5,4.974183318
754,4P0T,1.49,4.973477349
755,4Y3J,1.31,4.97168882
756,4XPX,1.03,4.971456843
757,6TL7,1.11,4.967789501
758,4D89,1.62,4.967668263
759,6VGW,1.51,4.966587066
760,5FLG,2.04,4.965082875
761,4ZAB,1.16,4.96466541
762,2UX7,1.3,4.963323613
763,4BBO,1.6,4.962834084
764,4CPF,1.14,4.962405986
765,4O36,1.22,4.95793574
766,4ZET,2.9,4.957371469
767,2WJK,2.3,4.952978344
768,4IGM,2.39,4.951617485
769,4S22,2.3,4.951337769
770,6PRF,1.21,4.946742799
771,4GK9,1.9,4.944042132
772,2OWP,2.0,4.942106854
773,6JEQ,1.8,4.941959511
774,3KYV,1.1,4.940846721
775,3EJ9,1.5,4.935036693
776,6PI5,1.67,4.934311881
777,5UXG,1.72,4.928170017
778,3HAS,1.9,4.927921899
779,6X5E,2.29,4.926748796
780,3RYM,1.7,4.924788774
781,3LUS,1.96,4.924769109
782,6NYQ,1.85,4.923813095
783,6NQJ,2.0,4.923672208
784,3L37,1.45,4.92114124
785,2P04,2.11,4.920006655
786,5BNN,2.32,4.917220057
787,1RUP,1.4,4.917112001
788,5K1N,1.81,4.917110617
789,2EKP,1.15,4.916197952
790,6MG4,1.75,4.915374561
791,4GVD,1.85,4.91535061
792,3ZXF,1.38,4.911769577
793,4ODV,2.15,4.910858382
794,3WO7,3.2,4.90707948
795,1M21,1.78,4.906618494
796,4V15,1.5,4.904807716
797,3EDG,1.27,4.904035661
798,5DC0,2.23,4.902346823
799,6C6Z,2.1,4.89464871
800,4CK0,2.92,4.892988805
801,6WES,1.36,4.89169501
802,5WQV,1.97,4.888809685
803,5VN1,1.22,4.888616741
804,2WR3,2.5,4.886349128
805,5RCX,1.04,4.886326394
806,1RZY,1.8,4.884214653
807,5XD9,2.6,4.881176798
808,6HCX,1.3,4.878783379
809,4AC1,1.3,4.877974528
810,1ZLE,1.9,4.877229739
811,1MUF,2.26,4.876113783
812,3NSS,1.9,4.874247831
813,5L6Q,1.4,4.874083915
814,4OXB,1.5,4.870114807
815,4QQS,1.1,4.868194187
816,2A6C,1.8,4.867808425
817,5UGD,1.38,4.864986433
